,pos,split,synonym,word1,word2
124,verb,train,1,nictitate,nictate
125,verb,train,0,nictitate,globalise
126,verb,train,1,bat,flutter
127,verb,train,0,bat,decay
128,verb,train,1,flutter,fleet
129,verb,train,0,flutter,Americanize
130,verb,train,1,squint,squinch
131,verb,train,0,squint,pee
132,verb,train,1,squinch,shrink
133,verb,train,0,squinch,overload
134,verb,train,1,shed,molt
135,verb,train,0,shed,flake
136,verb,train,1,shed,exuviate
137,verb,train,0,shed,witness
138,verb,train,1,shed,moult
139,verb,train,0,shed,revive
140,verb,train,1,shed,slough
141,verb,train,0,shed,infix
142,verb,train,1,shed,cast
143,verb,train,0,shed,basify
144,verb,train,1,shed,drop
145,verb,train,0,shed,smell
146,verb,train,1,shed,disgorge
147,verb,train,0,shed,deflower
148,verb,train,1,molt,exuviate
149,verb,train,0,molt,avianise
150,verb,train,1,molt,slough
151,verb,train,0,molt,phlebotomise
152,verb,train,1,exuviate,moult
153,verb,train,0,exuviate,unlax
154,verb,train,1,exuviate,slough
155,verb,train,0,exuviate,bestialise
156,verb,train,1,moult,slough
157,verb,train,0,moult,egress
158,verb,train,1,twitch,jerk
159,verb,train,0,twitch,magnetise
160,verb,train,1,twitch,pinch
161,verb,train,0,twitch,habituate
162,verb,train,1,twitch,flip
163,verb,train,0,twitch,rebound
164,verb,train,1,jerk,yank
165,verb,train,0,jerk,reverse
166,verb,train,1,act,behave
167,verb,train,0,act,star
168,verb,train,1,act,do
169,verb,train,0,act,peptise
170,verb,train,1,act,play
171,verb,train,0,act,jellify
172,verb,train,1,act,represent
173,verb,train,0,act,hydrolyse
174,verb,train,1,act,move
175,verb,train,0,act,blossom
176,verb,train,1,act,work
177,verb,train,0,act,blink
178,verb,train,1,behave,do
179,verb,train,0,behave,muzzle
180,verb,train,1,behave,bear
181,verb,train,0,behave,gnaw
182,verb,train,1,behave,carry
183,verb,train,0,behave,billow
184,verb,train,1,do,dress
185,verb,train,0,do,elapse
186,verb,train,1,do,arrange
187,verb,train,0,do,flee
188,verb,train,1,do,set
189,verb,train,0,do,embrown
190,verb,train,1,do,coif
191,verb,train,0,do,disinvest
192,verb,train,1,do,coiffe
193,verb,train,0,do,slow
194,verb,train,1,do,coiffure
195,verb,train,0,do,empathize
196,verb,train,1,do,make
197,verb,train,0,do,cauterize
198,verb,train,1,do,exercise
199,verb,train,0,do,verbalize
200,verb,train,1,vulgarize,popularize
201,verb,train,0,vulgarize,tease
202,verb,train,1,vulgarize,popularise
203,verb,train,0,vulgarize,unclutter
204,verb,train,1,vulgarize,generalize
205,verb,train,0,vulgarize,weary
206,verb,train,1,vulgarize,generalise
207,verb,train,0,vulgarize,water
208,verb,train,1,vulgarise,popularize
209,verb,train,0,vulgarise,polarise
210,verb,train,1,vulgarise,popularise
211,verb,train,0,vulgarise,centralise
212,verb,train,1,vulgarise,generalize
213,verb,train,0,vulgarise,capsulise
214,verb,train,1,vulgarise,generalise
215,verb,train,0,vulgarise,commingle
216,verb,train,1,swagger,bluster
217,verb,train,0,swagger,degenerate
218,verb,train,1,swagger,swash
219,verb,train,0,swagger,hydrolyze
220,verb,train,1,bluster,swash
221,verb,train,0,bluster,vivify
222,verb,train,1,sentimentalise,sentimentize
223,verb,train,0,sentimentalise,standardise
224,verb,train,1,sentimentalise,sentimentise
225,verb,train,0,sentimentalise,mount
226,verb,train,1,sentimentalize,sentimentize
227,verb,train,0,sentimentalize,carburize
228,verb,train,1,sentimentalize,sentimentise
229,verb,train,0,sentimentalize,countersink
230,verb,train,1,play,toy
231,verb,train,0,play,huff
232,verb,train,1,play,fiddle
233,verb,train,0,play,chasten
234,verb,train,1,play,bring
235,verb,train,0,play,brown
236,verb,train,1,play,work
237,verb,train,0,play,illuminate
238,verb,train,1,play,wreak
239,verb,train,0,play,refreshen
240,verb,train,1,play,run
241,verb,train,0,play,naturalise
242,verb,train,1,play,represent
243,verb,train,0,play,withdraw
244,verb,train,1,play,spiel
245,verb,train,0,play,didder
246,verb,train,1,play,recreate
247,verb,train,0,play,hide
248,verb,train,1,toy,fiddle
249,verb,train,0,toy,befoul
250,verb,train,1,shake,didder
251,verb,train,0,shake,exit
252,verb,train,1,shake,stimulate
253,verb,train,0,shake,muzzle
254,verb,train,1,shake,excite
255,verb,train,0,shake,unwind
256,verb,train,1,shake,judder
257,verb,train,0,shake,bloom
258,verb,train,1,shiver,shudder
259,verb,train,0,shiver,collimate
260,verb,train,1,sleep,kip
261,verb,train,0,sleep,plasticise
262,verb,train,1,sleep,slumber
263,verb,train,0,sleep,totalise
264,verb,train,1,kip,slumber
265,verb,train,0,kip,preserve
266,verb,train,1,snooze,drowse
267,verb,train,0,snooze,garble
268,verb,train,1,snooze,doze
269,verb,train,0,snooze,conventionalise
270,verb,train,1,drowse,doze
271,verb,train,0,drowse,macerate
272,verb,train,1,nap,catnap
273,verb,train,0,nap,wee
274,verb,train,1,doss,crash
275,verb,train,0,doss,mythologize
276,verb,train,1,crash,dash
277,verb,train,0,crash,climb
278,verb,train,1,bed,retire
279,verb,train,0,bed,transitivise
280,verb,train,1,bed,know
281,verb,train,0,bed,sunbathe
282,verb,train,1,retire,withdraw
283,verb,train,0,retire,overload
284,verb,train,1,retire,adjourn
285,verb,train,0,retire,behave
286,verb,train,1,arise,uprise
287,verb,train,0,arise,liquefy
288,verb,train,1,arise,lift
289,verb,train,0,arise,circulate
290,verb,train,1,arise,develop
291,verb,train,0,arise,unitise
292,verb,train,1,arise,grow
293,verb,train,0,arise,grain
294,verb,train,1,uprise,rise
295,verb,train,0,uprise,film
296,verb,train,1,uprise,resurrect
297,verb,train,0,uprise,tumble
298,verb,train,1,uprise,lift
299,verb,train,0,uprise,lower
300,verb,train,1,uprise,ascend
301,verb,train,0,uprise,twist
302,verb,train,1,uprise,develop
303,verb,train,0,uprise,exercise
304,verb,train,1,uprise,grow
305,verb,train,0,uprise,coronate
306,verb,train,1,rise,resurrect
307,verb,train,0,rise,embrown
308,verb,train,1,rise,climb
309,verb,train,0,rise,puddle
310,verb,train,1,rise,jump
311,verb,train,0,rise,restart
312,verb,train,1,rise,heighten
313,verb,train,0,rise,muster
314,verb,train,1,rise,wax
315,verb,train,0,rise,bloom
316,verb,train,1,rise,mount
317,verb,train,0,rise,tame
318,verb,train,1,rise,lift
319,verb,train,0,rise,pig
320,verb,train,1,rise,ascend
321,verb,train,0,rise,chuff
322,verb,train,1,rise,develop
323,verb,train,0,rise,mutilate
324,verb,train,1,rise,grow
325,verb,train,0,rise,hurt
326,verb,train,1,awake,arouse
327,verb,train,0,awake,pitchfork
328,verb,train,1,awake,waken
329,verb,train,0,awake,aline
330,verb,train,1,arouse,awaken
331,verb,train,0,arouse,catch
332,verb,train,1,arouse,wake
333,verb,train,0,arouse,transplant
334,verb,train,1,arouse,waken
335,verb,train,0,arouse,mobilise
336,verb,train,1,arouse,stimulate
337,verb,train,0,arouse,airlift
338,verb,train,1,arouse,brace
339,verb,train,0,arouse,scour
340,verb,train,1,arouse,energize
341,verb,train,0,arouse,break
342,verb,train,1,arouse,energise
343,verb,train,0,arouse,mangle
344,verb,train,1,arouse,raise
345,verb,train,0,arouse,unbend
346,verb,train,1,arouse,fire
347,verb,train,0,arouse,pace
348,verb,train,1,arouse,sex
349,verb,train,0,arouse,inhibit
350,verb,train,1,arouse,excite
351,verb,train,0,arouse,conquer
352,verb,train,1,awaken,wake
353,verb,train,0,awaken,pule
354,verb,train,1,awaken,rouse
355,verb,train,0,awaken,handicap
356,verb,train,1,wake,rouse
357,verb,train,0,wake,bring
358,verb,train,1,waken,rouse
359,verb,train,0,waken,depreciate
360,verb,train,1,rouse,excite
361,verb,train,0,rouse,fragmentize
362,verb,train,1,rouse,bestir
363,verb,train,0,rouse,apprehend
364,verb,train,1,hypnotize,mesmerize
365,verb,train,0,hypnotize,huff
366,verb,train,1,hypnotize,mesmerise
367,verb,train,0,hypnotize,politicise
368,verb,train,1,hypnotise,mesmerize
369,verb,train,0,hypnotise,perfume
370,verb,train,1,hypnotise,mesmerise
371,verb,train,0,hypnotise,smoulder
372,verb,train,1,mesmerize,magnetize
373,verb,train,0,mesmerize,civilize
374,verb,train,1,mesmerize,magnetise
375,verb,train,0,mesmerize,hurt
376,verb,train,1,mesmerize,spellbind
377,verb,train,0,mesmerize,spike
378,verb,train,1,mesmerise,magnetize
379,verb,train,0,mesmerise,suffer
380,verb,train,1,mesmerise,magnetise
381,verb,train,0,mesmerise,fort
382,verb,train,1,mesmerise,spellbind
383,verb,train,0,mesmerise,inunct
384,verb,train,1,entrance,spellbind
385,verb,train,0,entrance,vulcanise
386,verb,train,1,entrance,catch
387,verb,train,0,entrance,fertilise
388,verb,train,1,spellbind,magnetize
389,verb,train,0,spellbind,depilate
390,verb,train,1,spellbind,magnetise
391,verb,train,0,spellbind,savvy
392,verb,train,1,anesthetize,anaesthetise
393,verb,train,0,anesthetize,infuse
394,verb,train,1,anaesthetize,anesthetise
395,verb,train,0,anaesthetize,resect
396,verb,train,1,sedate,calm
397,verb,train,0,sedate,capsulise
398,verb,train,1,sedate,tranquilize
399,verb,train,0,sedate,personalise
400,verb,train,1,sedate,tranquillize
401,verb,train,0,sedate,disafforest
402,verb,train,1,sedate,tranquillise
403,verb,train,0,sedate,immunise
404,verb,train,1,calm,tranquilize
405,verb,train,0,calm,pad
406,verb,train,1,calm,tranquillize
407,verb,train,0,calm,emit
408,verb,train,1,calm,tranquillise
409,verb,train,0,calm,acclimatize
410,verb,train,1,calm,steady
411,verb,train,0,calm,hike
412,verb,train,1,calm,becalm
413,verb,train,0,calm,disrobe
414,verb,train,1,calm,quieten
415,verb,train,0,calm,speciate
416,verb,train,1,calm,still
417,verb,train,0,calm,normalise
418,verb,train,1,tranquilize,tranquillise
419,verb,train,0,tranquilize,render
420,verb,train,1,tranquilize,quieten
421,verb,train,0,tranquilize,cast
422,verb,train,1,tranquilize,still
423,verb,train,0,tranquilize,exteriorize
424,verb,train,1,tranquillize,quieten
425,verb,train,0,tranquillize,cocainize
426,verb,train,1,tranquillize,still
427,verb,train,0,tranquillize,brutalise
428,verb,train,1,tranquillise,quieten
429,verb,train,0,tranquillise,deaminate
430,verb,train,1,tranquillise,still
431,verb,train,0,tranquillise,soften
432,verb,train,1,stimulate,brace
433,verb,train,0,stimulate,mechanise
434,verb,train,1,stimulate,energize
435,verb,train,0,stimulate,reinforce
436,verb,train,1,stimulate,energise
437,verb,train,0,stimulate,palliate
438,verb,train,1,stimulate,excite
439,verb,train,0,stimulate,tighten
440,verb,train,1,stimulate,have
441,verb,train,0,stimulate,digitise
442,verb,train,1,stimulate,get
443,verb,train,0,stimulate,fluoridate
444,verb,train,1,stimulate,make
445,verb,train,0,stimulate,primp
446,verb,train,1,stimulate,rush
447,verb,train,0,stimulate,clog
448,verb,train,1,stimulate,hasten
449,verb,train,0,stimulate,hide
450,verb,train,1,brace,energize
451,verb,train,0,brace,repeat
452,verb,train,1,brace,energise
453,verb,train,0,brace,reset
454,verb,train,1,brace,steady
455,verb,train,0,brace,cover
456,verb,train,1,brace,stabilize
457,verb,train,0,brace,thicken
458,verb,train,1,brace,stabilise
459,verb,train,0,brace,stone
460,verb,train,1,energize,excite
461,verb,train,0,energize,peptize
462,verb,train,1,energise,excite
463,verb,train,0,energise,card
464,verb,train,1,perk,percolate
465,verb,train,0,perk,gelatinize
466,verb,train,1,percolate,leach
467,verb,train,0,percolate,carburize
468,verb,train,1,faint,conk
469,verb,train,0,faint,gather
470,verb,train,1,faint,swoon
471,verb,train,0,faint,sluice
472,verb,train,1,conk,swoon
473,verb,train,0,conk,romanticize
474,verb,train,1,conk,die
475,verb,train,0,conk,land
476,verb,train,1,conk,decease
477,verb,train,0,conk,brighten
478,verb,train,1,conk,perish
479,verb,train,0,conk,caramelise
480,verb,train,1,conk,go
481,verb,train,0,conk,sensibilize
482,verb,train,1,conk,exit
483,verb,train,0,conk,form
484,verb,train,1,conk,pass
485,verb,train,0,conk,curl
486,verb,train,1,conk,choke
487,verb,train,0,conk,slouch
488,verb,train,1,conk,croak
489,verb,train,0,conk,verbalize
490,verb,train,1,revive,resuscitate
491,verb,train,0,revive,deactivate
492,verb,train,1,revive,animate
493,verb,train,0,revive,twist
494,verb,train,1,revive,recreate
495,verb,train,0,revive,drowse
496,verb,train,1,revive,reanimate
497,verb,train,0,revive,croak
498,verb,train,1,revive,renovate
499,verb,train,0,revive,dribble
500,verb,train,1,revive,repair
501,verb,train,0,revive,decolor
502,verb,train,1,revive,quicken
503,verb,train,0,revive,fail
504,verb,train,1,revive,vivify
505,verb,train,0,revive,absent
506,verb,train,1,revive,revivify
507,verb,train,0,revive,traumatise
508,verb,train,1,revive,resurrect
509,verb,train,0,revive,irrupt
510,verb,train,1,animate,recreate
511,verb,train,0,animate,convince
512,verb,train,1,animate,reanimate
513,verb,train,0,animate,chink
514,verb,train,1,animate,renovate
515,verb,train,0,animate,eternise
516,verb,train,1,animate,repair
517,verb,train,0,animate,civilise
518,verb,train,1,animate,quicken
519,verb,train,0,animate,jumpstart
520,verb,train,1,animate,vivify
521,verb,train,0,animate,unify
522,verb,train,1,animate,revivify
523,verb,train,0,animate,fluoridise
524,verb,train,1,animate,enliven
525,verb,train,0,animate,unwind
526,verb,train,1,animate,liven
527,verb,train,0,animate,persist
528,verb,train,1,animate,invigorate
529,verb,train,0,animate,smash
530,verb,train,1,animate,animize
531,verb,train,0,animate,plunge
532,verb,train,1,animate,animise
533,verb,train,0,animate,denationalize
534,verb,train,1,recreate,reanimate
535,verb,train,0,recreate,resurrect
536,verb,train,1,recreate,renovate
537,verb,train,0,recreate,spume
538,verb,train,1,recreate,repair
539,verb,train,0,recreate,blossom
540,verb,train,1,recreate,quicken
541,verb,train,0,recreate,decentralize
542,verb,train,1,recreate,vivify
543,verb,train,0,recreate,benight
544,verb,train,1,recreate,revivify
545,verb,train,0,recreate,asterisk
546,verb,train,1,reanimate,renovate
547,verb,train,0,reanimate,chuckle
548,verb,train,1,reanimate,repair
549,verb,train,0,reanimate,discharge
550,verb,train,1,reanimate,quicken
551,verb,train,0,reanimate,catholicise
552,verb,train,1,reanimate,vivify
553,verb,train,0,reanimate,caramelise
554,verb,train,1,reanimate,revivify
555,verb,train,0,reanimate,coalesce
556,verb,train,1,renovate,repair
557,verb,train,0,renovate,star
558,verb,train,1,renovate,quicken
559,verb,train,0,renovate,overtire
560,verb,train,1,renovate,vivify
561,verb,train,0,renovate,plaster
562,verb,train,1,renovate,revivify
563,verb,train,0,renovate,overweary
564,verb,train,1,renovate,refurbish
565,verb,train,0,renovate,urinate
566,verb,train,1,renovate,restitute
567,verb,train,0,renovate,persevere
568,verb,train,1,repair,quicken
569,verb,train,0,repair,percolate
570,verb,train,1,repair,vivify
571,verb,train,0,repair,disengage
572,verb,train,1,repair,revivify
573,verb,train,0,repair,polymerize
574,verb,train,1,repair,rectify
575,verb,train,0,repair,boot
576,verb,train,1,repair,remediate
577,verb,train,0,repair,sop
578,verb,train,1,repair,remedy
579,verb,train,0,repair,diversify
580,verb,train,1,repair,amend
581,verb,train,0,repair,joke
582,verb,train,1,repair,mend
583,verb,train,0,repair,fuel
584,verb,train,1,repair,fix
585,verb,train,0,repair,build
586,verb,train,1,repair,bushel
587,verb,train,0,repair,transmute
588,verb,train,1,repair,doctor
589,verb,train,0,repair,aline
590,verb,train,1,repair,restore
591,verb,train,0,repair,deconcentrate
592,verb,train,1,repair,resort
593,verb,train,0,repair,fork
594,verb,train,1,quicken,vivify
595,verb,train,0,quicken,latinize
596,verb,train,1,quicken,revivify
597,verb,train,0,quicken,personalise
598,verb,train,1,quicken,accelerate
599,verb,train,0,quicken,pollinate
600,verb,train,1,quicken,speed
601,verb,train,0,quicken,fade
602,verb,train,1,quicken,invigorate
603,verb,train,0,quicken,romanticise
604,verb,train,1,quicken,whet
605,verb,train,0,quicken,engender
606,verb,train,1,vivify,revivify
607,verb,train,0,vivify,rally
608,verb,train,1,refresh,freshen
609,verb,train,0,refresh,douse
610,verb,train,1,refresh,refreshen
611,verb,train,0,refresh,orient
612,verb,train,1,freshen,refreshen
613,verb,train,0,freshen,oxygenise
614,verb,train,1,tense,strain
615,verb,train,0,tense,accustom
616,verb,train,1,strain,deform
617,verb,train,0,strain,regorge
618,verb,train,1,strain,distort
619,verb,train,0,strain,scorch
620,verb,train,1,strain,extend
621,verb,train,0,strain,incapacitate
622,verb,train,1,strain,puree
623,verb,train,0,strain,dialyze
624,verb,train,1,strain,try
625,verb,train,0,strain,fume
626,verb,train,1,relax,unstrain
627,verb,train,0,relax,activate
628,verb,train,1,relax,unlax
629,verb,train,0,relax,bedim
630,verb,train,1,relax,unwind
631,verb,train,0,relax,enlarge
632,verb,train,1,relax,unbend
633,verb,train,0,relax,ozonize
634,verb,train,1,relax,decompress
635,verb,train,0,relax,partition
636,verb,train,1,relax,loosen
637,verb,train,0,relax,detribalise
638,verb,train,1,relax,loose
639,verb,train,0,relax,customise
640,verb,train,1,relax,slack
641,verb,train,0,relax,sexualise
642,verb,train,1,relax,slacken
643,verb,train,0,relax,depersonalize
644,verb,train,1,unstrain,unlax
645,verb,train,0,unstrain,flame
646,verb,train,1,unstrain,unwind
647,verb,train,0,unstrain,equal
648,verb,train,1,unlax,unwind
649,verb,train,0,unlax,cocainise
650,verb,train,1,unwind,unbend
651,verb,train,0,unwind,invalidate
652,verb,train,1,unwind,decompress
653,verb,train,0,unwind,bowdlerise
654,verb,train,1,unwind,unroll
655,verb,train,0,unwind,clog
656,verb,train,1,unwind,disentangle
657,verb,train,0,unwind,inspissate
658,verb,train,1,unbend,decompress
659,verb,train,0,unbend,encrust
660,verb,train,1,unbend,straighten
661,verb,train,0,unbend,borrow
662,verb,train,1,decompress,depressurize
663,verb,train,0,decompress,finalize
664,verb,train,1,decompress,depressurise
665,verb,train,0,decompress,unfit
666,verb,train,1,decompress,uncompress
667,verb,train,0,decompress,depersonalise
668,verb,train,1,stretch,extend
669,verb,train,0,stretch,disband
670,verb,train,1,stretch,elongate
671,verb,train,0,stretch,launder
672,verb,train,1,stretch,load
673,verb,train,0,stretch,immix
674,verb,train,1,stretch,adulterate
675,verb,train,0,stretch,engender
676,verb,train,1,stretch,dilute
677,verb,train,0,stretch,snuff
678,verb,train,1,stretch,debase
679,verb,train,0,stretch,combine
680,verb,train,1,stretch,unfold
681,verb,train,0,stretch,pinch
682,verb,train,1,extend,exsert
683,verb,train,0,extend,full
684,verb,train,1,extend,carry
685,verb,train,0,extend,handicap
686,verb,train,1,extend,prolong
687,verb,train,0,extend,clown
688,verb,train,1,extend,protract
689,verb,train,0,extend,narcotize
690,verb,train,1,extend,widen
691,verb,train,0,extend,commingle
692,verb,train,1,extend,broaden
693,verb,train,0,extend,decolorise
694,verb,train,1,extend,expand
695,verb,train,0,extend,perspire
696,verb,train,1,extend,gallop
697,verb,train,0,extend,bleach
698,verb,train,1,extend,unfold
699,verb,train,0,extend,spit
700,verb,train,1,extend,run
701,verb,train,0,extend,oxygenate
702,verb,train,1,extend,go
703,verb,train,0,extend,commence
704,verb,train,1,extend,pass
705,verb,train,0,extend,symmetrise
706,verb,train,1,extend,cover
707,verb,train,0,extend,educe
708,verb,train,1,invigorate,reinvigorate
709,verb,train,0,invigorate,corner
710,verb,train,1,invigorate,enliven
711,verb,train,0,invigorate,complexify
712,verb,train,1,invigorate,liven
713,verb,train,0,invigorate,regulate
714,verb,train,1,smirk,simper
715,verb,train,0,smirk,initialise
716,verb,train,1,roar,howl
717,verb,train,0,roar,miscarry
718,verb,train,1,roar,thunder
719,verb,train,0,roar,transform
720,verb,train,1,roar,wail
721,verb,train,0,roar,wound
722,verb,train,1,howl,wail
723,verb,train,0,howl,inflect
724,verb,train,1,snicker,snigger
725,verb,train,0,snicker,eject
726,verb,train,1,giggle,titter
727,verb,train,0,giggle,virilize
728,verb,train,1,chuckle,chortle
729,verb,train,0,chuckle,desolate
730,verb,train,1,frown,glower
731,verb,train,0,frown,convert
732,verb,train,1,frown,lour
733,verb,train,0,frown,steal
734,verb,train,1,frown,lower
735,verb,train,0,frown,distill
736,verb,train,1,glower,lour
737,verb,train,0,glower,slumber
738,verb,train,1,glower,glare
739,verb,train,0,glower,remold
740,verb,train,1,lour,lower
741,verb,train,0,lour,evolve
742,verb,train,1,clap,spat
743,verb,train,0,clap,pollenate
744,verb,train,1,pout,mop
745,verb,train,0,pout,delete
746,verb,train,1,pout,mow
747,verb,train,0,pout,professionalise
748,verb,train,1,pout,sulk
749,verb,train,0,pout,reproduce
750,verb,train,1,pout,brood
751,verb,train,0,pout,cast
752,verb,train,1,cleanse,clean
753,verb,train,0,cleanse,heft
754,verb,train,1,clean,pick
755,verb,train,0,clean,hypnotize
756,verb,train,1,clean,scavenge
757,verb,train,0,clean,blossom
758,verb,train,1,clean,houseclean
759,verb,train,0,clean,embark
760,verb,train,1,clean,strip
761,verb,train,0,clean,desex
762,verb,train,1,wash,lave
763,verb,train,0,wash,hide
764,verb,train,1,wash,lap
765,verb,train,0,wash,desynchronize
766,verb,train,1,wash,moisten
767,verb,train,0,wash,awake
768,verb,train,1,wash,dampen
769,verb,train,0,wash,shoal
770,verb,train,1,wash,rinse
771,verb,train,0,wash,maul
772,verb,train,1,wash,launder
773,verb,train,0,wash,strangulate
774,verb,train,1,lave,lap
775,verb,train,0,lave,boost
776,verb,train,1,soap,lather
777,verb,train,0,soap,embrangle
778,verb,train,1,gargle,rinse
779,verb,train,0,gargle,immix
780,verb,train,1,comb,disentangle
781,verb,train,0,comb,corrupt
782,verb,train,1,disentangle,unsnarl
783,verb,train,0,disentangle,normalise
784,verb,train,1,dress,arrange
785,verb,train,0,dress,compound
786,verb,train,1,dress,set
787,verb,train,0,dress,conglobe
788,verb,train,1,dress,coif
789,verb,train,0,dress,anesthetize
790,verb,train,1,dress,coiffe
791,verb,train,0,dress,inaugurate
792,verb,train,1,dress,coiffure
793,verb,train,0,dress,suds
794,verb,train,1,dress,preen
795,verb,train,0,dress,spiel
796,verb,train,1,dress,primp
797,verb,train,0,dress,decolourize
798,verb,train,1,dress,plume
799,verb,train,0,dress,chuckle
800,verb,train,1,dress,groom
801,verb,train,0,dress,muster
802,verb,train,1,dress,curry
803,verb,train,0,dress,scintillate
804,verb,train,1,dress,clothe
805,verb,train,0,dress,ozonise
806,verb,train,1,dress,enclothe
807,verb,train,0,dress,snuffle
808,verb,train,1,dress,garb
809,verb,train,0,dress,territorialize
810,verb,train,1,dress,raiment
811,verb,train,0,dress,hurt
812,verb,train,1,dress,tog
813,verb,train,0,dress,sprinkle
814,verb,train,1,dress,garment
815,verb,train,0,dress,beautify
816,verb,train,1,dress,habilitate
817,verb,train,0,dress,focalize
818,verb,train,1,dress,apparel
819,verb,train,0,dress,intransitivise
820,verb,train,1,dress,clip
821,verb,train,0,dress,materialise
822,verb,train,1,dress,trim
823,verb,train,0,dress,houseclean
824,verb,train,1,dress,prune
825,verb,train,0,dress,acidulate
826,verb,train,1,arrange,set
827,verb,train,0,arrange,barbeque
828,verb,train,1,arrange,coif
829,verb,train,0,arrange,boom
830,verb,train,1,arrange,coiffe
831,verb,train,0,arrange,bubble
832,verb,train,1,arrange,coiffure
833,verb,train,0,arrange,impoverish
834,verb,train,1,arrange,format
835,verb,train,0,arrange,professionalize
836,verb,train,1,set,coif
837,verb,train,0,set,weary
838,verb,train,1,set,coiffe
839,verb,train,0,set,disband
840,verb,train,1,set,coiffure
841,verb,train,0,set,coruscate
842,verb,train,1,set,fructify
843,verb,train,0,set,district
844,verb,train,1,set,adjust
845,verb,train,0,set,keratinize
846,verb,train,1,set,correct
847,verb,train,0,set,truss
848,verb,train,1,set,fix
849,verb,train,0,set,globalise
